"행정구역","2021년_총인구수","2021년_세대수","2021년_세대당 인구"
"부산광역시  (2600000000)","3,350,380","1,544,663","          2.17"
"부산광역시 중구 (2611000000)","40,524","23,925","          1.69"
"부산광역시 서구 (2614000000)","105,164","52,960","          1.99"
"부산광역시 동구 (2617000000)","87,679","46,362","          1.89"
"부산광역시 영도구 (2620000000)","110,638","54,659","          2.02"
"부산광역시 부산진구 (2623000000)","353,159","173,353","          2.04"
"부산광역시 동래구 (2626000000)","266,866","115,718","          2.31"
"부산광역시 남구 (2629000000)","262,069","117,821","          2.22"
"부산광역시 북구 (2632000000)","283,211","123,316","          2.30"
"부산광역시 해운대구 (2635000000)","396,438","172,397","          2.30"
"부산광역시 사하구 (2638000000)","306,003","139,604","          2.19"
"부산광역시 금정구 (2641000000)","228,049","108,070","          2.11"
"부산광역시 강서구 (2644000000)","142,918","61,502","          2.32"
"부산광역시 연제구 (2647000000)","207,144","93,606","          2.21"
"부산광역시 수영구 (2650000000)","175,095","85,896","          2.04"
"부산광역시 사상구 (2653000000)","208,298","98,621","          2.11"
"부산광역시 기장군 (2671000000)","177,125","76,853","          2.30"
