DMAND_MVM_ITEM_LCLAS_NM,DMAND_MVM_ITEM_SCLAS_NM,ONE_YEAR_ISE_MVM_EXPRN_PSN_MAIN_DMAND_RATE,ONE_YEAR_ISE_MVM_EXPRN_PSN_TIME_MRGN_PREFER_RATE,ONE_YEAR_ISE_MVM_EXPRN_PSN_CRRNCY_MRGN_PREFER_RATE,ONE_YEAR_ISE_MVM_EXPRN_PSN_ITEM_PREFER_RATE,DMAND_MVM_ITEM_IDEX_VALUE,DMAND_MVM_ITEM_IDEX_RANK_CO,COURSE_ITEM_NM,COURSE_ITEM_CO,COURSE_ITEM_RATE
"무도/격투기",유도,0.00000,0.00000,0.00000,0.00000,0.00000,42,유도,44,1.13813
"무도/격투기",펜싱,0.10000,0.00000,0.00000,0.00000,0.02600,39,펜싱,2,0.05173
"무도/격투기",태권도,0.20000,0.40000,0.30000,0.30000,0.30000,23,태권도,719,18.59803
"무도/격투기",무도/격투기_그외종목,0.20000,0.30000,0.30000,0.10000,0.22800,26,무도/격투기_그외종목,308,7.96689
"기타스포츠",등산,1.70000,2.30000,1.70000,1.50000,1.80800,11,등산,1,0.02587
"기타스포츠",기타스포츠_그외종목,1.00000,17.40000,22.50000,16.10000,14.20100,2,관련 강좌 없음,0,0.00000
"기타스포츠",낚시,0.10000,0.50000,0.70000,0.10000,0.35700,21,낚시,1,0.02587
"레저스포츠",수상스키,0.00000,0.00000,0.10000,0.00000,0.02600,39,관련 강좌 없음,0,0.00000
"레저스포츠",스킨스쿠바,0.00000,0.00000,0.20000,0.00000,0.05100,38,관련 강좌 없음,0,0.00000
"레저스포츠",조정,0.00000,0.10000,0.00000,0.00000,0.02600,39,조정,2,0.05173
"레저스포츠",레저스포츠_그외종목,0.20000,0.10000,0.40000,0.00000,0.18000,27,레저스포츠_그외종목,2,0.05173
"레저스포츠",요트,0.00000,0.00000,0.00000,0.00000,0.00000,42,관련 강좌 없음,0,0.00000
"레저스포츠","스노우보드,스키",0.10000,0.00000,0.20000,0.00000,0.07700,36,관련 강좌 없음,0,0.00000
"레저스포츠",사격,0.10000,0.20000,0.30000,0.00000,0.15400,30,관련 강좌 없음,0,0.00000
"민속스포츠",양궁,0.20000,0.10000,0.20000,0.00000,0.12800,31,양궁,5,0.12933
"민속스포츠",민속스포츠_그외종목,0.00000,0.00000,0.00000,0.00000,0.00000,42,관련 강좌 없음,0,0.00000
"구기및라켓류",테니스,0.40000,0.60000,0.80000,0.10000,0.48500,18,테니스,4,0.10347
"구기및라켓류",탁구,1.80000,2.80000,2.50000,1.40000,2.14400,8,탁구,229,5.92344
"구기및라켓류",배드민턴,0.70000,1.50000,0.90000,1.10000,1.04900,12,배드민턴,82,2.12106
"구기및라켓류",볼링,0.70000,1.00000,1.40000,1.00000,1.02600,13,볼링,101,2.61252
"구기및라켓류",구기및라켓류_그외종목,0.90000,0.70000,1.70000,0.20000,0.89300,14,구기및라켓류_그외종목,27,0.69840
"구기및라켓류",게이트볼,0.40000,0.40000,1.00000,0.30000,0.53100,16,관련 강좌 없음,0,0.00000
"구기및라켓류",골프,0.50000,0.40000,1.10000,0.00000,0.51300,17,골프,22,0.56906
"구기및라켓류",농구,0.20000,0.40000,0.80000,0.20000,0.40500,19,농구,71,1.83652
"구기및라켓류",축구,0.20000,0.60000,0.50000,0.20000,0.38000,20,축구,63,1.62959
"구기및라켓류",당구,0.20000,0.30000,0.30000,0.60000,0.34300,22,당구,44,1.13813
"구기및라켓류",골볼,0.30000,0.20000,0.50000,0.10000,0.28000,24,관련 강좌 없음,0,0.00000
"구기및라켓류",보치아,0.20000,0.20000,0.10000,0.20000,0.17400,28,보치아,29,0.75013
"구기및라켓류",배구,0.10000,0.10000,0.20000,0.00000,0.10300,33,배구,3,0.07760
"구기및라켓류",럭비,0.10000,0.20000,0.10000,0.00000,0.10300,33,럭비,2,0.05173
"구기및라켓류",론볼,0.10000,0.20000,0.00000,0.00000,0.07700,36,론볼,1,0.02587
"구기및라켓류",아이스슬레지하키,0.00000,0.00000,0.00000,0.00000,0.00000,42,관련 강좌 없음,0,0.00000
"체력단련및생활운동","자전거,사이클",6.30000,4.40000,4.00000,2.30000,4.30200,5,관련 강좌 없음,0,0.00000
"체력단련및생활운동",수영,7.20000,17.00000,17.10000,8.40000,12.53200,3,수영,534,13.81273
"체력단련및생활운동",줄넘기,0.10000,0.20000,0.00000,0.10000,0.10000,35,줄넘기,21,0.54320
"체력단련및생활운동",재활운동,2.80000,4.40000,5.30000,5.20000,4.40400,4,재활운동,167,4.31971
"체력단련및생활운동",댄스스포츠,0.40000,0.80000,1.00000,0.40000,0.65700,15,댄스스포츠,12,0.31040
"체력단련및생활운동",맨손체조,3.80000,1.60000,0.90000,1.30000,1.91600,10,관련 강좌 없음,0,0.00000
"체력단련및생활운동",요가,1.30000,3.50000,2.80000,0.60000,2.08900,9,요가,119,3.07812
"체력단련및생활운동",보디빌딩(웨이트트레이닝),4.40000,2.00000,2.60000,0.90000,2.51700,7,관련 강좌 없음,0,0.00000
"체력단련및생활운동","육상(걷기,마라톤제외)",0.20000,0.10000,0.20000,0.20000,0.17400,28,관련 강좌 없음,0,0.00000
"체력단련및생활운동",체력단련및생활운동_그외종목,4.10000,3.00000,3.60000,2.40000,3.29800,6,체력단련및생활운동_그외종목,599,15.49405
"체력단련및생활운동",역도,0.50000,0.30000,0.20000,0.10000,0.28000,24,역도,2,0.05173
"체력단련및생활운동",걷기및가벼운달리기,58.10000,31.50000,23.20000,54.20000,41.41800,1,관련 강좌 없음,0,0.00000
"체력단련및생활운동",마라톤,0.10000,0.20000,0.00000,0.20000,0.12300,32,마라톤,1,0.02587
